numeroControlePNCP,_etl_timestamp,dataPublicacaoPncp,dataVigenciaFim,dataVigenciaInicio,objetoContrato,valorGlobal,valorInicial,orgao_cnpj,orgao_nome
07954480000179-2-016572/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:03:55,2027-05-21T00:00:00,2026-05-26T00:00:00,SERVIÇOS TÉCNICOS PROFISSIONAIS - EEMTI JOSÉ VALDO RIBEIRO RAMOS -  (SEFOR 1),74.99,74.99,07954480000179,ESTADO DO CEARA
07954480000179-2-016575/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:04:27,2027-03-21T00:00:00,2026-05-25T00:00:00,MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS - EEMTI FLAVIO RIBEIRO LIMA - UBAJARA - CREDE 5,14000.0,14000.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016567/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:03:40,2027-05-26T00:00:00,2026-05-26T00:00:00,SERVIÇOS GRÁFICOS - EEMTI WILSON GONÇALVES - CRATO - CREDE 18,2198.0,2198.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016570/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:03:48,2027-05-26T00:00:00,2026-05-26T00:00:00,GÊNEROS DE ALIMENTAÇÃO - EEM ANASTÁCIO ALVES BRAGA - ITAPIPOCA - CREDE 2,4015.0,4015.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016571/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:03:52,2027-05-26T00:00:00,2026-05-26T00:00:00,AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS EM PROL DA EEMTI CORONEL MURILO SERPA - ITAPIPOCA - CREDE 2 -,8340.0,8340.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016569/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:03:45,2027-05-07T00:00:00,2026-05-08T00:00:00,SERVIÇOS GRÁFICOS E EDITORIAIS - EEMTI DEPUTADO ANTÔNIO LEITE TAVARES - BARRO - CREDE 20,3215.0,3215.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016573/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:03:57,2027-05-26T00:00:00,2026-05-26T00:00:00,AQUISIÇÃO DE MATERIAL GRAFICO - EEMTI ZÉLIA DE MATOS BRITO - GUARAMIRANGA - CREDE 8 -,524.85,524.85,07954480000179,ESTADO DO CEARA
07954480000179-2-016574/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:04:25,2027-05-13T00:00:00,2026-05-14T00:00:00,"SERVIÇOS DE RECUPERAÇÃO DA COBERTA DO PÁTIO E CIRCULAÇÃO DO HALL DE ENTRADA NA EEMTI CORONEL OSVALDO STUDART
 - CREDE 1",61289.0,61289.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016576/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:04:29,2027-05-26T00:00:00,2026-05-26T00:00:00,"Aquisição emergencial de dietas enterais/orais e módulos nutricionais pediátricos, para um período de 12 (doze ) meses com a empresa INOVA NUTRIÇÃO E PRODUTOS EM SAÚDE LTDA, para atender as necessidades do Hospital Infantil Albert Sabin-HIAS, conforme especificações constantes no Anexo I.",49989.0,49989.0,07954480000179,ESTADO DO CEARA
07954480000179-2-016577/2026,2026-05-30T12:03:20.110673+00:00,2026-05-23T01:04:33,2027-05-10T00:00:00,2026-05-11T00:00:00,MANUTENÇÃO E CONSERVAÇÃO DE MÁQUINAS E EQUIPAMENTOS - EEMTI PROFESSORA MARIETA SANTOS - BELA CRUZ - CREDE 3,19040.0,19040.0,07954480000179,ESTADO DO CEARA
